username,email,password_hash,is_activated,locale
admin,admin@example.com,$2a$12$YA1ZVmBdiI4htqvSgaLGHeVWpsEfWgs1s/7fjDjSCzY77cxWFoTnG,true,en-US
user,user@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user03,user03@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user04,user04@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user05,user05@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user06,user06@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user07,user07@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user08,user08@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user09,user09@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
user10,user10@example.com,$2a$12$V9g93nrlx/1yxHrebA0dk.qQVcI6IdLyevhfTfWdFnVD8Cu3sembG,true,ru-RU
